category,subcategory,name,part_number,essential,expression,extreme,journey,notes
komfort_i_bezpieczenstwo,komfort_podrozowania,Pionowa siatka przytrzymująca bagaże,7711945467,compatible,compatible,compatible,compatible,
komfort_i_bezpieczenstwo,komfort_podrozowania,Zestaw dla palaczy,8201375535,compatible,compatible,compatible,compatible,
komfort_i_bezpieczenstwo,wyposazenie_wnetrza,YouClip - wielofunkcyjny uchwyt na kubek,684349615R,compatible,compatible,compatible,compatible,
komfort_i_bezpieczenstwo,wyposazenie_wnetrza,YouClip - zaczep,684344266R,compatible,compatible,compatible,compatible,
komfort_i_bezpieczenstwo,wyposazenie_wnetrza,YouClip - lampka,684342227R,compatible,compatible,compatible,compatible,
komfort_i_bezpieczenstwo,wyposazenie_wnetrza,YouClip - 3 w 1,984392908R,compatible,compatible,conditional_standard_equipment,compatible,(1) Część należy do seryjnego wyposażenia w Extreme.
komfort_i_bezpieczenstwo,wyposazenie_wnetrza,YouClip - sakiewka,685605709R,compatible,compatible,compatible,compatible,
komfort_i_bezpieczenstwo,wyposazenie_wnetrza,YouClip - indukcyjna ładowarka do smartfonów,283D84357R,compatible,compatible,compatible,compatible,
komfort_i_bezpieczenstwo,wyposazenie_wnetrza,YouClip - uchwyt na smartfon,283143468R,compatible,conditional_standard_equipment,conditional_standard_equipment,conditional_standard_equipment,"(1) Część należy do seryjnego wyposażenia w Expression, Extreme i Journey."
komfort_i_bezpieczenstwo,wyposazenie_wnetrza,YouClip - uchwyt na tablet multimedialny,984E29693R,compatible,compatible,compatible,compatible,
komfort_i_bezpieczenstwo,wyposazenie_wnetrza,YouClip - uchwyt na zagłówek,864091793R,compatible,compatible,compatible,compatible,
komfort_i_bezpieczenstwo,dywaniki,Gumowe dywaniki z podwyższonymi brzegami - ECO-G 100 i Hybrid,749M67996R,compatible,compatible,conditional_standard_equipment,compatible,(1) Część należy do seryjnego wyposażenia w Extreme.
komfort_i_bezpieczenstwo,dywaniki,Gumowe dywaniki z podwyższonymi brzegami - TCe 130,749M62782R,compatible,compatible,conditional_standard_equipment,compatible,(1) Część należy do seryjnego wyposażenia w Extreme.
komfort_i_bezpieczenstwo,dywaniki,Tekstylne dywaniki podłogowe Comfort - ECO-G 100 i Hybrid,749M66963R,compatible,compatible,compatible,compatible,
komfort_i_bezpieczenstwo,dywaniki,Tekstylne dywaniki podłogowe Comfort - TCe 130,749M61901R,compatible,compatible,compatible,compatible,
komfort_i_bezpieczenstwo,dywaniki,Tekstylne dywaniki podłogowe Premium - ECO-G 100 i Hybrid,749M61631R,compatible,compatible,compatible,compatible,
komfort_i_bezpieczenstwo,dywaniki,Tekstylne dywaniki podłogowe Premium - TCe 130,749M62492R,compatible,compatible,compatible,compatible,
komfort_i_bezpieczenstwo,zabezpieczenie_nadwozia,Pokrowiec na samochód Dacia khaki - rozmiar M,7711948836,compatible,compatible,compatible,compatible,
komfort_i_bezpieczenstwo,zabezpieczenie_nadwozia,Nakładki ochronne na krawędzie drzwi i boczne lusterka,8201743312,compatible,compatible,compatible,compatible,
komfort_i_bezpieczenstwo,zabezpieczenie_nadwozia,Pakiet pokrowiec na koło zapasowe + narzędzia,7717274286,compatible,compatible,compatible,compatible,
komfort_i_bezpieczenstwo,zabezpieczenie_nadwozia,Pokrowiec na koło zapasowe,7717274243,compatible,compatible,compatible,compatible,
komfort_i_bezpieczenstwo,zabezpieczenie_nadwozia,Zestaw narzędzi do koła zapasowego,572016346R,compatible,compatible,compatible,compatible,
komfort_i_bezpieczenstwo,pokrowce_na_siedzenia,Pokrowce tekstylne na przednie i tylne siedzenia - fotel pasażera regulowany w pionie,870085991R,compatible,compatible,compatible,compatible,
komfort_i_bezpieczenstwo,pokrowce_na_siedzenia,Pokrowce tekstylne na przednie siedzenia - fotel pasażera regulowany w pionie,870082705R,compatible,compatible,compatible,compatible,
komfort_i_bezpieczenstwo,pokrowce_na_siedzenia,Pokrowce tekstylne na tylne siedzenia,870083983R,compatible,compatible,compatible,compatible,
transport,hak_holowniczy,Zestaw jednoczęściowego haka holowniczego z gniazdem 13-stykowym,7717301410,compatible,compatible,compatible,compatible,
transport,hak_holowniczy,Jednoczęściowy hak holowniczy - belka poprzeczna,511D25563R,compatible,compatible,compatible,compatible,
transport,hak_holowniczy,Jednoczęściowy hak holowniczy - komplet śrub,511D25661R,compatible,compatible,compatible,compatible,
transport,hak_holowniczy,Wiązka przewodów do haka holowniczego - 13-stykowa,241D89571R,compatible,compatible,compatible,compatible,Składowa obu zestawów haka.
transport,hak_holowniczy,Zestaw haka holowniczego demontowanego bez narzędzi z gniazdem 13-stykowym,7717301411,compatible,compatible,compatible,compatible,
transport,hak_holowniczy,Hak holowniczy demontowany bez narzędzi - belka poprzeczna,511D25666R,compatible,compatible,compatible,compatible,
transport,hak_holowniczy,Hak holowniczy demontowany bez narzędzi - komplet śrub,511D27676R,compatible,compatible,compatible,compatible,
transport,hak_holowniczy,Adapter wiązki haka holowniczego 13/7 styków,7711949772,compatible,compatible,compatible,compatible,
transport,bagazniki,Pakiet bagażnika dachowego,7717274281,compatible,compatible,compatible,compatible,
transport,bagazniki,Bagażnik dachowy - poprzeczki,7717301463,compatible,compatible,compatible,compatible,
transport,bagazniki,Bagażnik dachowy - zestaw śrub,7717274280,compatible,compatible,compatible,compatible,
transport,bagazniki,Poprzeczki dachowe QuickFix montowane na stałych relingach,8201749196,compatible,compatible,compatible,compatible,
transport,bagazniki,"Kufer dachowy Dacia 400 l, czarny",7711574056,compatible,compatible,compatible,compatible,
transport,bagazniki,"Kufer dachowy Dacia 480 l, czarny",7711574057,compatible,compatible,compatible,compatible,
transport,bagazniki,Bagażnik rowerowy mocowany na poprzeczkach dachowych,7711949992,compatible,compatible,compatible,compatible,
transport,bagazniki,Adapter do bagażnika rowerowego mocowanego na poprzeczkach,7711949993,compatible,compatible,compatible,compatible,
transport,bagazniki,"Bagażnik platformowy na 2 rowery na haku, 13 styków",7711949994,compatible,compatible,compatible,compatible,
transport,bagazniki,"Bagażnik platformowy na 3 rowery na haku, 13 styków",7711949995,compatible,compatible,compatible,compatible,
transport,bagazniki,Bagażnik Hang-on na 2 rowery na haku,7717301286,compatible,compatible,compatible,compatible,
transport,bagazniki,Bagażnik Hang-on na 3 rowery na haku,7717301287,compatible,compatible,compatible,compatible,
transport,bagazniki,Bagażnik Hang-on na 4 rowery na haku,7717301288,compatible,compatible,compatible,compatible,
transport,bagazniki,Box bagażowy Towcar mocowany na haku,7717300703,compatible,compatible,compatible,compatible,
transport,bagazniki,Bagażnik na 4 pary nart,7717301298,compatible,compatible,compatible,compatible,
transport,bagazniki,Bagażnik na 6 par nart,7717301299,compatible,compatible,compatible,compatible,
transport,bagazniki,Adapter do bagażnika na narty,7711949529,compatible,compatible,compatible,compatible,
transport,innature,Pakiet Sleep do 4x2 / 4x4 bez koła zapasowego,7717274284,compatible,compatible,compatible,compatible,
transport,innature,Skrzynia do Pakietu Sleep - 4x2 / 4x4 bez koła zapasowego,984238863R,compatible,compatible,compatible,compatible,
transport,innature,Materac do Pakietu Sleep,984245182R,compatible,compatible,compatible,compatible,Wspólny element pakietów 4x2/4x4 i HEV.
transport,innature,Komplet uchwytów do mocowania ładunku,749320660R,compatible,compatible,compatible,compatible,Wspólny element pakietów 4x2/4x4 i HEV.
transport,innature,Pakiet Sleep do HEV bez koła zapasowego,7717274282,compatible,compatible,compatible,compatible,
transport,innature,Skrzynia do Pakietu Sleep - HEV bez koła zapasowego,984233490R,compatible,compatible,compatible,compatible,
transport,innature,Zasłony do Pakietu Sleep,975804778R,compatible,compatible,compatible,compatible,
transport,innature,Namiot Dacia 3-osobowy mocowany do tylnej klapy,7717300226,compatible,compatible,compatible,compatible,
transport,innature,Pakiet Sleep - wirtualny artykuł CMS (wszystkie silniki),7717274277,compatible,compatible,compatible,compatible,
multimedia,lacznosc_telefoniczna,Uchwyt magnetyczny do smartfonu na kratce nawiewu,7711784774,compatible,compatible,compatible,compatible,
multimedia,lacznosc_telefoniczna,Uchwyt magnetyczny do smartfonu na desce rozdzielczej,7711784775,compatible,compatible,compatible,compatible,
multimedia,lacznosc_telefoniczna,Przetwornica napięcia 12 V / 220 V,7711944194,compatible,compatible,compatible,compatible,
multimedia,system_wideo,Kamera Dashcam Nextbase 322GW z kartą SD 32 GB,7711945184,compatible,compatible,compatible,compatible,
bezpieczenstwo,zabezpieczenia,Śruby antykradzieżowe M12 szare do obręczy aluminiowych,8201724187,compatible,compatible,compatible,compatible,
bezpieczenstwo,zabezpieczenia,Śruby antykradzieżowe Thatcham szare do obręczy aluminiowych,8201724188,compatible,compatible,compatible,compatible,
bezpieczenstwo,zabezpieczenia,Autoalarm,8201750874,compatible,compatible,compatible,compatible,
bezpieczenstwo,wspomaganie_prowadzenia,Wspomaganie parkowania przodem,8201749667,compatible,compatible,compatible,compatible,
bezpieczenstwo,pierwsza_pomoc,Uchwyt mocowania gaśnicy,8201749664,compatible,compatible,compatible,compatible,
bezpieczenstwo,pierwsza_pomoc,Gaśnica 1 kg - Francja,7711788640,compatible,compatible,compatible,compatible,
bezpieczenstwo,pierwsza_pomoc,Gaśnica 1 kg - Europa,7711943172,compatible,compatible,compatible,compatible,
bezpieczenstwo,pierwsza_pomoc,Zestaw bezpieczeństwa,7711780759,compatible,compatible,compatible,compatible,
bezpieczenstwo,lancuchy_sniegowe,Łańcuchy Premium Grip - rozmiar 120,7711780263,compatible,compatible,compatible,compatible,
bezpieczenstwo,lancuchy_sniegowe,Łańcuchy Premium Grip - rozmiar 130,7711780260,compatible,compatible,compatible,compatible,
bezpieczenstwo,lancuchy_sniegowe,Łańcuchy Standard 9 mm - rozmiar 104 do kół 16 cali,7711578473,compatible,compatible,compatible,compatible,
bezpieczenstwo,lancuchy_sniegowe,Łańcuchy Standard 9 mm - rozmiar 105,7711578474,compatible,compatible,compatible,compatible,
bezpieczenstwo,lancuchy_sniegowe,Łańcuchy Polaire Steel Grip - rozmiar 120,7711940854,compatible,compatible,compatible,compatible,
bezpieczenstwo,lancuchy_sniegowe,Łańcuchy Premium Grip - rozmiar 130 (referencja 7711940856),7711940856,compatible,compatible,compatible,compatible,
dla_klientow_biznesowych,adaptacja,Kratka oddzielająca przestrzeń bagażową,8201749684,compatible,compatible,compatible,compatible,
dla_klientow_biznesowych,adaptacja,Adaptacja na samochód firmowy,8201749685,compatible,compatible,compatible,conditional_remove_double_floor,(2) Podwójna podłoga do usunięcia w Journey.
dla_klientow_biznesowych,adaptacja,Przesłona bagażnika do samochodów z kratką,8201749686,compatible,compatible,compatible,compatible,
dla_klientow_biznesowych,adaptacja,Wkładka podwyższająca do bagażnika do samochodów z kratką,792C95245R,compatible,compatible,compatible,compatible,
