category,subcategory,name,part_number,essential,expression,extreme,journey,notes
komfort_i_ochrona,wnetrze,Wykładzina do bagażnika standardowego,849P70394R,compatible,incompatible,incompatible,incompatible,
komfort_i_ochrona,wnetrze,Modułowe zabezpieczenie bagażnika EasyFlex,749L00615R,compatible,compatible,compatible,compatible,
komfort_i_ochrona,wnetrze,Dwustronna wykładzina do bagażnika,844951487R,conditional_4x4_only,compatible,conditional_standard_equipment,compatible,(2) Essential: kompatybilne tylko z wersją 4x4. | (1) Extreme: standardowe wyposażenie w tej wersji.
komfort_i_ochrona,wnetrze,Wielofunkcyjny ochraniacz do bagażnika i na siedzenia,7717301406,compatible,compatible,compatible,compatible,
komfort_i_ochrona,wnetrze,Siatka do bagażnika montowana pionowo,8201755911,compatible,compatible,compatible,compatible,
komfort_i_ochrona,wnetrze,"Lodówka 24 l, 12 V/220 V",7711431405,compatible,compatible,compatible,compatible,
komfort_i_ochrona,wyposazenie_wnetrza,YouClip - wieszak mocowany do zagłówka,733006743R,compatible,compatible,compatible,compatible,
komfort_i_ochrona,wyposazenie_wnetrza,YouClip - uchwyt mocowany do zagłówka,864091793R,compatible,compatible,compatible,compatible,
komfort_i_ochrona,wyposazenie_wnetrza,YouClip - uchwyt na tablet,984E29693R,compatible,compatible,compatible,compatible,
komfort_i_ochrona,wyposazenie_wnetrza,YouClip - bezprzewodowa ładowarka do smartfona,283D84357R,compatible,compatible,compatible,compatible,
komfort_i_ochrona,wyposazenie_wnetrza,YouClip - uchwyt na smartfona,283143468R,compatible,compatible,conditional_standard_equipment,conditional_standard_equipment,(1) Standardowe wyposażenie w tej wersji.
komfort_i_ochrona,wyposazenie_wnetrza,YouClip - zaczep,684344266R,compatible,compatible,compatible,compatible,
komfort_i_ochrona,wyposazenie_wnetrza,YouClip - lampka,684342227R,compatible,compatible,compatible,compatible,
komfort_i_ochrona,wyposazenie_wnetrza,YouClip - wielofunkcyjny uchwyt na kubek,684349615R,compatible,compatible,compatible,compatible,
komfort_i_ochrona,wyposazenie_wnetrza,Mocowanie 3 w 1 YouClip (uchwyt na kubek + lampka + zaczep),984392908R,compatible,compatible,conditional_standard_equipment,compatible,(1) Extreme: standardowe wyposażenie w tej wersji.
komfort_i_ochrona,wyposazenie_wnetrza,YouClip - saszetka,685605709R,compatible,compatible,compatible,compatible,
komfort_i_ochrona,wyposazenie_wnetrza,Krata oddzielająca przestrzeń bagażową dla zwierząt,7717277492,compatible,compatible,compatible,compatible,
komfort_i_ochrona,dywaniki,Dywaniki gumowe z podwyższonymi krawędziami (wersje z napędem hybrydowym),749M67742R,compatible,compatible,conditional_standard_equipment,compatible,(1) Extreme: standardowe wyposażenie w tej wersji.
komfort_i_ochrona,dywaniki,Dywaniki tekstylne Comfort (wersje z napędem hybrydowym),749M63255R,compatible,compatible,compatible,compatible,
komfort_i_ochrona,dywaniki,Dywaniki tekstylne Premium (wersje z napędem hybrydowym),749M69312R,compatible,compatible,compatible,compatible,
komfort_i_ochrona,dywaniki,Dywaniki gumowe z podwyższonymi krawędziami (wersje z silnikiem benzynowym lub LPG),749M63506R,compatible,compatible,conditional_standard_equipment,compatible,(1) Extreme: standardowe wyposażenie w tej wersji.
komfort_i_ochrona,dywaniki,Dywaniki tekstylne Comfort (wersje z silnikiem benzynowym lub LPG),749M60440R,compatible,compatible,compatible,compatible,
komfort_i_ochrona,dywaniki,Dywaniki tekstylne Premium (wersje z silnikiem benzynowym lub LPG),749M62522R,compatible,compatible,compatible,compatible,
komfort_i_ochrona,ochrona_nadwozia,Nakładki ochronne na krawędzie drzwi i na lusterka boczne,8201743312,compatible,compatible,compatible,compatible,
komfort_i_ochrona,ochrona_nadwozia,Osłona silnika,755605897R,compatible,compatible,compatible,compatible,
komfort_i_ochrona,ochrona_nadwozia,Pokrowiec na koło zapasowe i narzędzia,7717274286,compatible,compatible,compatible,compatible,
komfort_i_ochrona,pokrowce_na_siedzenia,Tekstylne pokrowce na przednie i tylne siedzenia,8201756318,compatible,compatible,compatible,compatible,
komfort_i_ochrona,pokrowce_na_siedzenia,Tekstylne pokrowce na fotele przednie,8201755957,compatible,compatible,compatible,compatible,
komfort_i_ochrona,pokrowce_na_siedzenia,Tekstylne pokrowce na tylne siedzenia,8201756317,compatible,compatible,compatible,compatible,
transport,hak_holowniczy,"Zestaw z hakiem holowniczym demontowanym bez użycia narzędzi, z gniazdem 13-stykowym",7717301411,compatible,compatible,compatible,compatible,
transport,hak_holowniczy,"Zestaw z hakiem holowniczym jednoelementowym, z gniazdem 13-stykowym",7717301410,compatible,compatible,compatible,compatible,
transport,hak_holowniczy,Adapter wiązki haka holowniczego 13/7 styków,7711949772,compatible,compatible,compatible,compatible,
transport,hak_holowniczy,Dacia aero cargo box,7717276949,compatible,compatible,compatible,compatible,
transport,hak_holowniczy,Dacia aero cargo box na bagażnik rowerowy mocowany do haka holowniczego,7717275154,compatible,compatible,compatible,compatible,
transport,hak_holowniczy,Platformowy bagażnik rowerowy na 2 rowery mocowany na haku holowniczym,7711949994,compatible,compatible,compatible,compatible,
transport,hak_holowniczy,Platformowy bagażnik rowerowy na 3 rowery mocowany na haku holowniczym,7711949995,compatible,compatible,compatible,compatible,
transport,hak_holowniczy,Zawieszany bagażnik rowerowy na 2 rowery mocowany na haku holowniczym,7717301286,compatible,compatible,compatible,compatible,
transport,hak_holowniczy,Zawieszany bagażnik rowerowy na 3 rowery mocowany na haku holowniczym,7717301287,compatible,compatible,compatible,compatible,
transport,hak_holowniczy,Zawieszany bagażnik rowerowy na 4 rowery mocowany na haku holowniczym,7717301288,compatible,compatible,compatible,compatible,
transport,poprzeczki_i_bagazniki_dachowe,Poprzeczki dachowe QuickFix mocowane do relingów dachowych,8201749196,compatible,compatible,incompatible,compatible,
transport,poprzeczki_i_bagazniki_dachowe,Czarny kufer dachowy Dacia 330 l,7711574056,conditional_antenna_replacement,compatible,compatible,compatible,(3) Oryginalna antena do zastąpienia anteną w kształcie płetwy rekina.
transport,poprzeczki_i_bagazniki_dachowe,Czarny kufer dachowy Dacia 390 l,7711574057,conditional_antenna_replacement,compatible,compatible,compatible,(3) Oryginalna antena do zastąpienia anteną w kształcie płetwy rekina.
transport,poprzeczki_i_bagazniki_dachowe,Bagażnik rowerowy mocowany do relingów dachowych,7711949992,compatible,compatible,compatible,compatible,
transport,poprzeczki_i_bagazniki_dachowe,Adapter do bagażnika rowerowego mocowanego do relingów dachowych,7711949993,compatible,compatible,compatible,compatible,
transport,poprzeczki_i_bagazniki_dachowe,Uchwyt na narty mocowany do poprzeczek dachowych - 4 pary nart,7717301298,compatible,compatible,compatible,compatible,
transport,poprzeczki_i_bagazniki_dachowe,Uchwyt na narty mocowany do poprzeczek dachowych - 6 par nart,7717301299,compatible,compatible,compatible,compatible,
transport,poprzeczki_i_bagazniki_dachowe,Adapter do uchwytu na narty mocowanego do poprzeczek dachowych,7711949529,compatible,compatible,compatible,compatible,
transport,linia_innature,Bagażnik dachowy,7717277154,compatible,compatible,compatible,compatible,
transport,linia_innature,Pakiet Sleep Dacia (wersje z silnikiem benzynowym lub LPG),7717277530,compatible,compatible,compatible,compatible,
transport,linia_innature,Pakiet Sleep Dacia (wersje 4x4 lub z napędem hybrydowym),7717277531,compatible,compatible,compatible,compatible,
transport,linia_innature,Rolety zaciemniające do pakietu Sleep,975804783R,compatible,compatible,compatible,compatible,
transport,linia_innature,Roleta zaciemniająca do szklanego dachu,8201757350,incompatible,incompatible,compatible,conditional_panorama_roof,"(4) Kompatybilne, jeśli wybrano opcję panoramicznego szklanego dachu."
transport,linia_innature,3-osobowy namiot Dacia z 1 sypialnią mocowany do tylnej klapy,7717300226,compatible,compatible,compatible,compatible,
multimedia,telefon,Przetwornica napięcia 12 V/220 V,7711944194,compatible,compatible,compatible,compatible,
multimedia,wideo,Wideorejestrator pokładowy Nextbase 322 GW z kartą SD 32 GB,7711945184,compatible,compatible,compatible,compatible,
bezpieczenstwo,bezpieczenstwo,Szare blokady antykradzieżowe M12 do aluminiowych obręczy kół,8201724187,compatible,compatible,compatible,compatible,
bezpieczenstwo,bezpieczenstwo,Alarm,8201752631,compatible,compatible,compatible,compatible,
bezpieczenstwo,bezpieczenstwo,Przednie czujniki parkowania,8201749656,compatible,compatible,compatible,compatible,
bezpieczenstwo,bezpieczenstwo,System monitorowania martwego pola,7711947898,compatible,compatible,compatible,compatible,
bezpieczenstwo,bezpieczenstwo,Uchwyt na gaśnicę,8201749664,compatible,compatible,compatible,compatible,
bezpieczenstwo,bezpieczenstwo,Gaśnica 1 kg - Europa,7711943172,compatible,compatible,compatible,compatible,
bezpieczenstwo,bezpieczenstwo,"Zestaw bezpieczeństwa (kamizelka, trójkąt ostrzegawczy, apteczka)",7711780759,compatible,compatible,compatible,compatible,
bezpieczenstwo,bezpieczenstwo,System wykrywania obecności dziecka,7711945796,compatible,compatible,compatible,compatible,
bezpieczenstwo,bezpieczenstwo,Łańcuchy śniegowe Standard 9 mm - rozmiar 105,7711578474,compatible,compatible,compatible,compatible,
bezpieczenstwo,bezpieczenstwo,Łańcuchy śniegowe Premium Grip - rozmiar 120,7711780263,compatible,compatible,compatible,compatible,
bezpieczenstwo,bezpieczenstwo,Łańcuchy śniegowe Premium Grip - rozmiar 130,7711780260,compatible,compatible,compatible,compatible,
bezpieczenstwo,bezpieczenstwo,Łańcuchy śniegowe Steel Grip - rozmiar 120,7711940854,compatible,compatible,compatible,compatible,
bezpieczenstwo,bezpieczenstwo,Łańcuchy śniegowe Steel Grip - rozmiar 130,7711940856,compatible,compatible,compatible,compatible,
dla_profesjonalistow,adaptacja_dostawcza,Zestaw do adaptacji na wersję dostawczą,8201756729,compatible,compatible,compatible,compatible,
dla_profesjonalistow,adaptacja_dostawcza,Krata oddzielająca przestrzeń bagażową,8201756728,compatible,compatible,compatible,compatible,
dla_profesjonalistow,adaptacja_dostawcza,Zasłona przestrzeni bagażowej,8201756727,compatible,compatible,compatible,compatible,
dla_profesjonalistow,adaptacja_dostawcza,Wkład do bagażnika do samochodów dostawczych,8201756730,compatible,compatible,compatible,compatible,
